Freq.	V(out)
1.80250092522167e+001	(-2.12850331128899e+001dB,-1.52345742253851e+002°)
1.81503831063433e+001	(-2.11428947738550e+001dB,-1.52947351732972e+002°)
1.82766290045881e+001	(-2.10011963814797e+001dB,-1.53549183311989e+002°)
1.84037530124976e+001	(-2.08599373917177e+001dB,-1.54151237602055e+002°)
1.85317612378075e+001	(-2.07191172810711e+001dB,-1.54753515406040e+002°)
1.86606598307363e+001	(-2.05787355474655e+001dB,-1.55356017715087e+002°)
1.87904549842804e+001	(-2.04387917111161e+001dB,-1.55958745705031e+002°)
1.89211529345120e+001	(-2.02992853153839e+001dB,-1.56561700732659e+002°)
1.90527599608789e+001	(-2.01602159276230e+001dB,-1.57164884331843e+002°)
1.91852823865054e+001	(-2.00215831400171e+001dB,-1.57768298209514e+002°)
1.93187265784970e+001	(-1.98833865704055e+001dB,-1.58371944241508e+002°)
1.94530989482458e+001	(-1.97456258630986e+001dB,-1.58975824468258e+002°)
1.95884059517387e+001	(-1.96083006896804e+001dB,-1.59579941090352e+002°)
1.97246540898673e+001	(-1.94714107498009e+001dB,-1.60184296463947e+002°)
1.98618499087409e+001	(-1.93349557719550e+001dB,-1.60788893096048e+002°)
2.00000000000001e+001	(-1.91989355142485e+001dB,-1.61393733639643e+002°)
2.01391110011345e+001	(-1.90633497651513e+001dB,-1.61998820888702e+002°)
2.02791895958007e+001	(-1.89281983442367e+001dB,-1.62604157773041e+002°)
2.04202425141440e+001	(-1.87934811029064e+001dB,-1.63209747353046e+002°)
2.05622765331215e+001	(-1.86591979251004e+001dB,-1.63815592814261e+002°)
2.07052984768277e+001	(-1.85253487279930e+001dB,-1.64421697461848e+002°)
2.08493152168226e+001	(-1.83919334626719e+001dB,-1.65028064714906e+002°)
2.09943336724615e+001	(-1.82589521148017e+001dB,-1.65634698100660e+002°)
2.11403608112278e+001	(-1.81264047052711e+001dB,-1.66241601248519e+002°)
2.12874036490674e+001	(-1.79942912908226e+001dB,-1.66848777884004e+002°)
2.14354692507260e+001	(-1.78626119646652e+001dB,-1.67456231822544e+002°)
2.15845647300887e+001	(-1.77313668570679e+001dB,-1.68063966963143e+002°)
2.17346972505213e+001	(-1.76005561359365e+001dB,-1.68671987281927e+002°)
2.18858740252150e+001	(-1.74701800073693e+001dB,-1.69280296825553e+002°)
2.20381023175324e+001	(-1.73402387161948e+001dB,-1.69888899704505e+002°)
2.21913894413571e+001	(-1.72107325464882e+001dB,-1.70497800086262e+002°)
2.23457427614446e+001	(-1.70816618220680e+001dB,-1.71107002188339e+002°)
2.25011696937764e+001	(-1.69530269069707e+001dB,-1.71716510271217e+002°)
2.26576777059162e+001	(-1.68248282059045e+001dB,-1.72326328631147e+002°)
2.28152743173687e+001	(-1.66970661646796e+001dB,-1.72936461592842e+002°)
2.29739670999409e+001	(-1.65697412706169e+001dB,-1.73546913502048e+002°)
2.31337636781060e+001	(-1.64428540529322e+001dB,-1.74157688718005e+002°)
2.32946717293693e+001	(-1.63164050830967e+001dB,-1.74768791605801e+002°)
2.34566989846378e+001	(-1.61903949751729e+001dB,-1.75380226528602e+002°)
2.36198532285908e+001	(-1.60648243861253e+001dB,-1.75991997839790e+002°)
2.37841423000546e+001	(-1.59396940161048e+001dB,-1.76604109874989e+002°)
2.39495740923788e+001	(-1.58150046087071e+001dB,-1.77216566943987e+002°)
2.41161565538154e+001	(-1.56907569512041e+001dB,-1.77829373322559e+002°)
2.42838976879012e+001	(-1.55669518747466e+001dB,-1.78442533244193e+002°)
2.44528055538416e+001	(-1.54435902545399e+001dB,-1.79056050891723e+002°)
2.46228882668986e+001	(-1.53206730099895e+001dB,-1.79669930388862e+002°)
2.47941539987800e+001	(-1.51982011048173e+001dB,1.79715824208342e+002°)
2.49666109780325e+001	(-1.50761755471481e+001dB,1.79101208920146e+002°)
2.51402674904368e+001	(-1.49545973895641e+001dB,1.78486219851830e+002°)
2.53151318794059e+001	(-1.48334677291286e+001dB,1.77870853202492e+002°)
2.54912125463855e+001	(-1.47127877073769e+001dB,1.77255105273922e+002°)
2.56685179512583e+001	(-1.45925585102746e+001dB,1.76638972479544e+002°)
2.58470566127501e+001	(-1.44727813681424e+001dB,1.76022451353426e+002°)
2.60268371088389e+001	(-1.43534575555458e+001dB,1.75405538559352e+002°)
2.62078680771675e+001	(-1.42345883911508e+001dB,1.74788230899951e+002°)
2.63901582154582e+001	(-1.41161752375436e+001dB,1.74170525325884e+002°)
2.65737162819305e+001	(-1.39982195010142e+001dB,1.73552418945073e+002°)
2.67585510957225e+001	(-1.38807226313027e+001dB,1.72933909031975e+002°)
2.69446715373141e+001	(-1.37636861213084e+001dB,1.72314993036897e+002°)
2.71320865489537e+001	(-1.36471115067612e+001dB,1.71695668595337e+002°)
2.73208051350882e+001	(-1.35310003658528e+001dB,1.71075933537359e+002°)
2.75108363627952e+001	(-1.34153543188303e+001dB,1.70455785896977e+002°)
2.77021893622188e+001	(-1.33001750275481e+001dB,1.69835223921565e+002°)
2.78948733270084e+001	(-1.31854641949806e+001dB,1.69214246081264e+002°)
2.80888975147603e+001	(-1.30712235646927e+001dB,1.68592851078392e+002°)
2.82842712474622e+001	(-1.29574549202695e+001dB,1.67971037856850e+002°)
2.84810039119418e+001	(-1.28441600847027e+001dB,1.67348805611511e+002°)
2.86791049603169e+001	(-1.27313409197358e+001dB,1.66726153797584e+002°)
2.88785839104503e+001	(-1.26189993251641e+001dB,1.66103082139953e+002°)
2.90794503464066e+001	(-1.25071372380931e+001dB,1.65479590642473e+002°)
2.92817139189129e+001	(-1.23957566321515e+001dB,1.64855679597225e+002°)
