Freq.	V(out)
1.36604025675440e+001	(-1.94411624069298e+001dB,-1.38226446758435e+002°)
1.37554181813975e+001	(-1.92837848068959e+001dB,-1.38889054663880e+002°)
1.38510946811093e+001	(-1.91268802842534e+001dB,-1.39552313050028e+002°)
1.39474366635041e+001	(-1.89704473872598e+001dB,-1.40216224919698e+002°)
1.40444487573800e+001	(-1.88144846854801e+001dB,-1.40880793871939e+002°)
1.41421356237310e+001	(-1.86589907727338e+001dB,-1.41546024102078e+002°)
1.42405019559708e+001	(-1.85039642700640e+001dB,-1.42211920401264e+002°)
1.43395524801583e+001	(-1.83494038287257e+001dB,-1.42878488155530e+002°)
1.44392919552250e+001	(-1.81953081331921e+001dB,-1.43545733344348e+002°)
1.45397251732032e+001	(-1.80416759041790e+001dB,-1.44213662538684e+002°)
1.46408569594563e+001	(-1.78885059016853e+001dB,-1.44882282898542e+002°)
1.47426921729111e+001	(-1.77357969280487e+001dB,-1.45551602169996e+002°)
1.48452357062905e+001	(-1.75835478310149e+001dB,-1.46221628681698e+002°)
1.49484924863494e+001	(-1.74317575068199e+001dB,-1.46892371340868e+002°)
1.50524674741107e+001	(-1.72804249032844e+001dB,-1.47563839628738e+002°)
1.51571656651040e+001	(-1.71295490229185e+001dB,-1.48236043595480e+002°)
1.52625920896057e+001	(-1.69791289260354e+001dB,-1.48908993854566e+002°)
1.53687518128802e+001	(-1.68291637338740e+001dB,-1.49582701576597e+002°)
1.54756499354240e+001	(-1.66796526317286e+001dB,-1.50257178482565e+002°)
1.55832915932101e+001	(-1.65305948720840e+001dB,-1.50932436836548e+002°)
1.56916819579351e+001	(-1.63819897777554e+001dB,-1.51608489437841e+002°)
1.58008262372676e+001	(-1.62338367450325e+001dB,-1.52285349612496e+002°)
1.59107296750984e+001	(-1.60861352468242e+001dB,-1.52963031204283e+002°)
1.60213975517925e+001	(-1.59388848358055e+001dB,-1.53641548565044e+002°)
1.61328351844426e+001	(-1.57920851475628e+001dB,-1.54320916544450e+002°)
1.62450479271248e+001	(-1.56457359037377e+001dB,-1.55001150479133e+002°)
1.63580411711557e+001	(-1.54998369151665e+001dB,-1.55682266181197e+002°)
1.64718203453515e+001	(-1.53543880850149e+001dB,-1.56364279926090e+002°)
1.65863909162889e+001	(-1.52093894119058e+001dB,-1.57047208439834e+002°)
1.67017583885675e+001	(-1.50648409930377e+001dB,-1.57731068885593e+002°)
1.68179283050744e+001	(-1.49207430272937e+001dB,-1.58415878849570e+002°)
1.69349062472506e+001	(-1.47770958183364e+001dB,-1.59101656326230e+002°)
1.70526978353592e+001	(-1.46338997776896e+001dB,-1.59788419702826e+002°)
1.71713087287552e+001	(-1.44911554278018e+001dB,-1.60476187743219e+002°)
